"Country","Year","Rank","Total","C1: Security Apparatus","C2: Factionalized Elites","C3: Group Grievance","E1: Economy","E2: Economic Inequality","E3: Human Flight and Brain Drain","P1: State Legitimacy","P2: Public Services","P3: Human Rights","S1: Demographic Pressures","S2: Refugees and IDPs","X1: External Intervention","Fragile State Index"
"Netherlands","2017","167th","27.4","1.5","3.1","4.5","2.7","2.2","2.6","1.3","1","1","2.5","3.8","1.2","Sustainable"
"Luxembourg","2017","168th","23.4","1.7","3.4","3.1","1.2","1.6","2.1","1","2.1","1","1.6","3.5","1.1","Sustainable"
"Canada","2017","169th","22.6","2.2","2.5","3.4","1.8","2.5","1.7","1","1.5","1.3","1.9","1.8","1","Sustainable"
"New Zealand","2017","170th","22.6","1.2","1.4","3.6","3.6","2.3","2.1","0.9","1.4","1","2.1","1.8","1.2","Sustainable"
"Iceland","2017","171st","22.5","1","1.8","1.3","3.3","1.1","2.8","1.3","1.2","1","1.6","2","4.1","Sustainable"
"Australia","2017","172nd","22.3","2.1","1.7","3.9","1.7","2.2","1.3","1","1.5","2.3","1.3","2.3","1","Sustainable"
"Ireland","2017","172nd","22.3","2.1","1.5","1.4","3.4","2.2","2.8","1","1.4","1.4","1.7","2","1.4","Sustainable"
"Sweden","2017","174th","22.1","2.1","1.8","1.5","1.8","1.8","1.5","1","1.1","1.1","2","5.3","1.1","Sustainable"
"Denmark","2017","175th","21.5","1.7","1.4","4.4","2","1.6","1.9","0.9","1","1.5","2","2.1","1","Sustainable"
"Switzerland","2017","176th","21.1","1.1","1","3.6","2.3","2.2","2.1","1","1","1.8","1.5","2.5","1","Sustainable"
"Norway","2017","177th","20.5","2","1.1","3.6","2.2","1.5","1.6","0.8","1","1.1","1.5","2.8","1.3","Sustainable"
"Finland","2017","178th","18.7","1.7","1.1","1.8","3.5","1","2.3","0.9","1","1","1.1","2.3","1","Sustainable"
