"Country","Year","Rank","Total","C1: Security Apparatus","C2: Factionalized Elites","C3: Group Grievance","E1: Economy","E2: Economic Inequality","E3: Human Flight and Brain Drain","P1: State Legitimacy","P2: Public Services","P3: Human Rights","S1: Demographic Pressures","S2: Refugees and IDPs","X1: External Intervention","Education(Mean years of schooling","Health(Current health expenditure (% of GDP)","Unemployment","Population growth","Corruption","Human Development Index","Fragile State Index"
"Nepal","2017","33rd","106.5","6.5","8.8","9.4","7.5","6.7","6.5","7.4","7.2","7.7","8.6","7.8","6.9","4.7","5.6","1.4","1.3","2","0.5","Alert"
"Togo","2017","56th","106.4","6.5","7.6","4.6","6.4","8.2","7.5","7.8","8.2","6.7","7.8","6.6","6","4.7","6.2","2.5","1.1","7.5","0.5","Alert"
"Maldives","2017","86th","106.3","6.4","8","4.8","5.9","3.6","6.2","8.5","5.6","8.2","6","4.7","6.5","10.2","9","6","4.3","1.71","0.7","Alert"
"Equatorial Guinea","2017","51st","106.2","6.5","8.2","6.3","6.5","8.7","5.5","9.8","7.9","9.2","7.5","3.9","5","5.6","3.1","6.5","2.3","3.25","0.5","Alert"
"Azerbaijan","2017","81st","105.9","6.2","7.9","6.5","4.1","5.9","4.3","8.8","5.4","8.5","4.6","7.7","6.4","10.6","6.7","5","1","5.64","0.7","Alert"
"Kyrgyz Republic","2017","65th","105.9","6.5","8","8.4","7","5.9","7","7.7","5.1","7.5","5.5","5.3","6.4","10.9","6.2","3.7","1.6","2.59","0.6","Alert"
"Sao Tome and Principe","2017","97th","105.5","5","6.3","4.5","8.5","6","8.5","5.6","5.9","3.3","6.2","4.4","7.9","6.1","6.2","13.3","2","5.21","0.6","Alert"
"Madagascar","2017","55th","104.8","7.1","7.8","4.1","7.6","9.1","6.7","7.1","9.1","5.6","9.1","3.9","6.8","7.8","5.5","1.7","2.7","2.72","0.4","Alert"
"Micronesia","2017","80th","104.7","4.6","5.6","4","8.8","8.3","9.8","5.5","6","3.3","7.1","3.9","9.5","8.6","12.4","4.1","1.1","1.54","0.6","Alert"
"Rwanda","2017","34th","104.7","6.2","8","9.4","6","8.3","7.4","7.1","7.4","7.2","8","8.3","7.5","4.3","6.6","1.1","0.2","1.2","0.5","Alert"
"Brazil","2017","110th","104.6","6.7","4.9","6.2","4.8","7.8","4.6","6.2","6.4","6.4","8.1","2.8","3.3","7.8","9.5","12.8","1.4","4.24","0.7","Alert"
"Cambodia","2017","50th","104.4","6.7","8.3","6.9","5.7","6.6","7.6","8.3","7.8","7.7","7","5.7","7.4","4.8","5.9","0.7","2.6","4.19","0.5","Alert"
"Ecuador","2017","75th","103.6","6.8","8.2","7.3","6","6.7","5.8","6.5","6.5","5","6.5","5.7","6.3","8.8","8.3","3.8","2.1","2.56","0.7","Alert"
"Philippines","2017","54th","103.6","9.7","8","7.9","5.5","5.7","6.5","7","6.7","6.6","7.5","6.9","6.4","9.4","4.4","2.6","0.7","1.36","0.7","Alert"
"South Africa","2017","96th","103.4","6.1","6.1","6.7","7.1","7.5","5.5","6.5","7","4.2","7.2","5.4","3","10.2","8.1","6.7","1.4","3.98","0.7","Alert"
"Ukraine","2017","90th","102.7","7.6","8","6.7","6.8","4.2","5.2","8.2","3.7","6.2","4.2","4.6","8.6","11.4","7","7.3","0.4","2.11","0.5","Alert"
"Honduras","2017","68th","102.5","7.3","6.8","5.9","6.4","7.7","6.4","6.8","6.8","6.9","6.3","4.3","7.5","6.6","7.9","5.5","0.5","2.32","0.6","Alert"
"Saudi Arabia","2017","101st","102.1","6.3","8.2","7.8","4.5","5","3.8","8","3.8","9.1","5.3","4.7","4.7","10.1","5.2","5.9","2.8","6.14","0.8","Alert"
"Guyana","2017","100th","101.9","6.4","5.1","6.7","6","5.7","9.4","5.4","6.2","3.5","5.8","3.8","7.3","8.5","4.9","12","2.8","1.84","0.6","Alert"
"Belarus","2017","95th","101.3","6.1","8.3","7.1","6","4.7","3.4","8.7","4.2","7.9","5.1","3.6","7.3","12.3","5.9","5.7","0.1","4.12","0.8","Alert"
"Botswana","2017","120th","101.3","4.1","3.3","4.9","5.8","7.8","5.5","3.3","7.3","5","8.2","4.5","4.1","9.3","6.1","17.5","1.2","2.74","0.7","Alert"
"Greece","2017","127th","101.3","4.5","4.1","5.4","6.5","3.7","3.3","6.7","3.8","3.2","3.7","6.5","6.1","10.5","8","21.5","0","2.98","0.8","Alert"
"Guatemala","2017","57th","101.3","7.6","7.1","8.5","5.5","8.1","7.3","6.5","7.5","7.2","7","5.6","5.2","6.5","5.8","2.5","0.6","2.19","0.6","Alert"
"Papua New Guinea","2017","48th","101.3","7.2","7.1","6.3","6.1","9.1","7.4","6.8","9","7.6","7.8","5.2","6.8","4.6","2.5","2.5","1.7","3.1","0.5","Alert"
"Bolivia","2017","77th","100.9","6.5","8","6","5.4","8.6","7","6.5","6.8","6","6.3","3.9","5.8","8.9","6.4","3.7","1.4","2.98","0.7","Alert"
"Tunisia","2017","89th","100.9","8.3","7.8","7.7","6.7","4.9","6.1","6.5","4.4","6.5","4.2","4.7","6.4","7.2","7.2","4.4","1.7","5.47","0.7","Alert"
"Turkmenistan","2017","86th","100.7","6.3","7.8","6.6","4.9","6.7","5.1","9.7","5.6","8.7","5.4","3.5","4.1","9.8","6.9","5.8","1.3","1.8","0.7","Alert"
"Fiji","2017","76th","100.2","7.1","7.9","6.9","6.5","6.3","8.2","6.9","5","6.9","4.9","3.1","7.2","10.8","3.5","4.2","2.7","1.36","0.7","Alert"
"El Salvador","2017","92nd","100","7.3","4.3","6.7","5.4","6.4","7.9","4.8","6.4","6.3","6.9","4.8","5.9","6.9","7.2","4.4","3.8","4.04","0.6","Alert"
"Venezuela","2017","58th","99.9","7.3","8.2","7.2","7.3","6.7","5.5","8.5","7.7","8.9","5.6","4.6","5.4","10.3","1.2","1.2","1.5","2.11","0.7","Alert"
"Morocco","2017","84th","99.7","5.8","6.6","7.7","4.8","6.2","8.2","6.7","5.2","6.8","4.8","6.1","6","11.5","5.2","3.3","1.3","2.87","0.6","Alert"
"Senegal","2017","60th","99.5","6.2","6.6","6.4","7.4","7.4","8","4.7","7.5","6","8.1","7.3","6.7","3","4.1","6.6","0.5","2.52","0.5","Alert"
"Laos","2017","59th","99.3","5.5","8.3","6.6","5.2","6.6","7.7","9.1","7","7.9","7.3","5.1","6.1","5.2","2.5","1.8","0.9","5.89","0.6","Alert"
"Nicaragua","2017","74th","99.3","5.6","7.1","6.5","5.7","8","8.1","7.9","6.7","5.2","5.3","4","7.3","6.8","8.6","3.3","1.3","1.29","0.6","Alert"
"Cape Verde","2017","106th","98.3","5.4","5.5","4.1","5.2","7.1","8","5.3","6","4","7.2","4.2","8.1","6.1","5.2","12.2","1.2","3.2","0.3","Alert"
"Samoa","2017","111th","98.2","4.7","5.1","4.5","6.3","4.9","9.5","5.5","4.9","4.1","5.7","2.7","9.2","10.6","5.5","8.4","3.8","2.1","0.7","Alert"
"Cyprus","2017","121st","97.9","4.4","7.9","6.3","6","5.9","4","4.8","2.5","3","3.5","5.3","9","12.1","6.7","11.1","0.8","3.78","0.8","Alert"
"Jamaica","2017","117th","97.5","6.9","3.7","3.4","6.9","5.1","8.4","4.8","6.4","5.5","5.2","3.1","5.8","9.8","6","11.6","0.2","3.96","0.7","Alert"
"Paraguay","2017","99th","97.3","6.6","7.8","5.8","5","7.9","5.8","7","6.2","5.9","5.7","3.1","4.8","8.4","6.7","4.6","2","3.35","0.7","Alert"
"Albania","2017","124th","97.2","4.7","6.2","4.5","5.4","3.6","7.6","5.7","4","4.8","3.7","3.6","6.7","10.1","10.2","13.8","0.1","1.81","0.7","Alert"
"India","2017","72nd","97.2","7.4","7.3","8.3","5.1","7","6.1","4.7","7.4","6","7.9","5.3","5.4","6.5","3.5","5.4","1.1","2.16","0.6","Alert"
"Tanzania","2017","65th","97","5.5","5.7","5.2","6.2","7.1","7.6","5.9","8.6","5.9","8.7","6.7","7.2","6","3.6","3.9","0.3","2.36","0.5","Alert"
"Moldova","2017","98th","96.9","6.1","8.3","7.3","6.4","4.8","6.6","6.6","4.9","4.9","4.8","3.9","7.4","7.7","7","6.4","1.7","1.4","0.7","Alert"
"China","2017","85th","96.2","5.9","7.2","7.9","4.4","7.3","4.9","8.6","5.7","8.5","6.7","4.9","2.7","7.8","5.2","4.4","1.4","1.96","0.7","Alert"
"Mexico","2017","88th","96.1","8.4","5.4","7.2","4.9","6.1","5.8","6.5","6.8","6.5","6.1","5.1","5.5","9.3","5.5","3.4","1.2","1.69","0.7","Alert"
"Vietnam","2017","105th","94.9","4.6","6.9","6","5.1","5","6.2","8.3","4.7","7.4","6.1","4.7","5.2","8.2","5.5","5.5","1","3.93","0.6","Alert"
"Benin","2017","73rd","94.8","6.2","6.7","3.4","6.6","7.6","7.4","5.4","8.7","5.2","8.3","5.5","6.6","3.6","3.7","2.5","2.7","4.17","0.5","Alert"
"Dominican Republic","2017","109th","93.8","5.8","6.2","5.8","5.5","5.8","7.1","5.5","6.3","5.8","6.5","3.3","5.4","7.9","6.1","5.8","1.8","2.55","0.7","Alert"
"Thailand","2017","82nd","93.6","9","9.4","8.5","3.3","5.3","4.7","7.5","4.4","8","6.4","5.9","3.8","7.7","3.7","1.8","1.9","1.55","0.7","Alert"
"Mongolia","2017","128th","93.5","3.6","5.5","3.8","5","6.4","3.3","4","5.4","4.5","5.1","3","7.1","11.6","4","16.1","1.9","2.45","0.7","Alert"
"Suriname","2017","113th","93.3","4.9","5.8","5.8","7.1","6.1","6.8","5","5.6","4.6","5.3","3","5.9","9.1","6.2","4.6","1","5.81","0.7","Alert"
"Indonesia","2017","94th","93.1","6.2","7","7.1","4.5","5.8","6.9","5.1","5.9","7.2","6.6","5.4","5.2","8","3","4.2","1.2","3.12","0.7","Alert"
"Brunei Darussalam","2017","122nd","93","5.1","7.4","5.9","3.5","7.8","4.6","8.3","1.8","7.7","3.7","2.2","3.6","9.1","2.4","9.3","1.1","8.72","0.8","Alert"
"Cuba","2017","119th","92.9","5.2","7","4","4","5.4","5.2","7.6","4.1","7.5","5.5","4","5.1","11.8","11.7","1.7","0","2.36","0.7","Alert"
"Peru","2017","104th","92.2","7.1","6.9","7.4","3.2","7.4","7.3","7.2","6.7","4.3","5","4.3","3.5","9.5","5","3.5","1.3","1.9","0.7","Alert"
"Kazakhstan","2017","113th","91.5","5.2","7.6","7.6","6.4","4.2","3.6","8.3","4","7.3","4.5","3","4.2","11.8","3.1","4.9","1.4","3.59","0.8","Alert"
"Belize","2017","115th","91.4","6.4","4.3","4.1","6.7","5.4","6.6","5.2","5.9","4.7","5.1","3.6","7.5","9.8","5.6","6.6","2","1.2","0.7","Alert"
"Ghana","2017","108th","89.7","3.8","5.2","4.4","6.1","6.6","8.2","4.2","7.8","5.1","6.6","5","6.7","7.1","3.3","4.2","2.2","2.56","0.6","Warning"
"Macedonia","2017","112th","89.7","5.6","7.3","6.9","5.8","5.2","5.2","5.8","3.9","3.8","3.3","7.3","6","12.2","2.1","2.3","1.6","4.49","0.9","Warning"
